,0,product ID,category ID
0,"Móvil - Google Pixel 7a, Carbón, 128 GB, 8 GB RAM, 6.1  OLED Full HD+, Google Tensor G2, 4.385 mAh, Android",5,3
1,"Tablet - Samsung Galaxy Tab A8, 64 GB eMMC, Gris Oscuro, WiFi, 10.5 WUXGA, 4 GB RAM, Unisoc T618, Android 11",6,2
2,"Frigorífico combi - Balay 3KFD765BI Cristal, No Frost, 203 cm, 368 l, Cajón ExtraFresh, Iluminación LED, Blanco",10,4
3,"TV Neo QLED 65 - Samsung TQ65QN90CATXXC, UHD 4K, Smart TV, Quantum Matrix, Dolby Atmos, Smart Hub, Plataforma NTF, Carbón Silver",11,1
4,"Cafetera superautomática - Krups Roma EA81K870, 1450 W, 15 bar, 1.7 L, 3 temperaturas, 2 tazas, Sistema Thermoblock, Kit de limpieza incluido, Negro",12,5
5,"Moldeador - Cecotec Bamba CeramicCare AirGlam W, Tecnología iónica, 8 en 1, 3 velocidades, 3 temperaturas, 8 accesorios, Coanda, Cerámico, White Gold",13,6
6,"Smartwatch - Amazfit GTS 4 Mini, 1.65 FHD AMOLED, 135 - 190 mm, 5 ATM, Bluetooth 5.2, 15 días, Mint Blue",14,8
7,"Patinete eléctrico - Smartgyro Rockway Pro C, 1000 W, Capacidad máxima 75 kg, 15.000 mAh, Hasta 25 km/h, Negro",15,9
8,"Barra de sonido - Samsung HW-Q930C/ZF, Bluetooth, Dolby Atmos inalámbrico, 42W, 9.1.4 canales, Compatible con asistentes de voz, WiFi, Negro",16,11
9,"Repetidor WiFi - TP-Link RE450 Doble Banda , 3 antenas, MU-MIMO, Ethernet Gigabit, WPS, AC1750",17,10
10,PS5 Marvel's Spiderman 2,7,7
11,"Cámara deportiva - GoPro Hero 11 Black, Sin funda, 5.3K, 24.7 MP, SuperFoto, HDR, HyperSmooth 5.0, Slo-Mo x8, Negro",8,12
12,"Cámara de vigilancia IP - Xiaomi Smart Camera C200, Full HD, 360 grados de visión, Blanco",9,13
